,thread_count,queue_size,iat_scale,machine,tag,workload,t1_size_mb,t2_size_mb,it,status
335,16,128,1,c220g1,cl_hdd_0_26,w54,5000,0,2,6118894
336,16,128,1,c220g1,cl_hdd_0_26,w54,5000,1000,0,-1
337,16,128,1,c220g1,cl_hdd_0_26,w54,5000,1000,1,-1
338,16,128,1,c220g1,cl_hdd_0_26,w54,5000,1000,2,-1
339,16,128,1,c220g1,cl_hdd_0_26,w54,5000,2000,0,-1
340,16,128,1,c220g1,cl_hdd_0_26,w54,5000,2000,1,-1
341,16,128,1,c220g1,cl_hdd_0_26,w54,5000,2000,2,-1
342,16,128,1,c220g1,cl_hdd_0_26,w54,5000,5000,0,-1
343,16,128,1,c220g1,cl_hdd_0_26,w54,5000,5000,1,-1
344,16,128,1,c220g1,cl_hdd_0_26,w54,5000,5000,2,-1
345,16,128,1,c220g1,cl_hdd_0_26,w82,500,0,0,892
346,16,128,1,c220g1,cl_hdd_0_26,w82,500,0,1,892
347,16,128,1,c220g1,cl_hdd_0_26,w82,500,0,2,786
348,16,128,1,c220g1,cl_hdd_0_26,w82,500,500,0,-1
349,16,128,1,c220g1,cl_hdd_0_26,w82,500,500,1,-1
350,16,128,1,c220g1,cl_hdd_0_26,w82,500,500,2,-1
351,16,128,1,c220g1,cl_hdd_0_26,w82,500,1000,0,-1
352,16,128,1,c220g1,cl_hdd_0_26,w82,500,1000,1,-1
353,16,128,1,c220g1,cl_hdd_0_26,w82,500,1000,2,-1
354,16,128,1,c220g1,cl_hdd_0_26,w82,500,1500,0,-1
355,16,128,1,c220g1,cl_hdd_0_26,w82,500,1500,1,-1
356,16,128,1,c220g1,cl_hdd_0_26,w82,500,1500,2,-1
357,16,128,1,c220g1,cl_hdd_0_26,w82,500,2000,0,-1
358,16,128,1,c220g1,cl_hdd_0_26,w82,500,2000,1,-1
359,16,128,1,c220g1,cl_hdd_0_26,w82,500,2000,2,-1
360,16,128,1,c220g1,cl_hdd_0_26,w82,500,700,0,-1
361,16,128,1,c220g1,cl_hdd_0_26,w82,500,700,1,-1
362,16,128,1,c220g1,cl_hdd_0_26,w82,500,700,2,-1
363,16,128,1,c220g1,cl_hdd_0_26,w82,500,2500,0,-1
364,16,128,1,c220g1,cl_hdd_0_26,w82,500,2500,1,-1
365,16,128,1,c220g1,cl_hdd_0_26,w82,500,2500,2,-1
